Raison Sociale,site_id,FAIT,category,TEXTE FRANÇAIS,TEXTE  ANGLAIS,PHOTO,Longitude,Latitude,Ville,,Type,Sous-type,Ligne adresse 1,NumÈro,ComplÈment numÈro,Type de voie,Voie,Ligne adresse 3,Boite postale,Code postal,,Bureau distributeur,Indicateur cÈdex,CÈdex,TÈlÈphone,Mail,Adresse Web,,,
Allées de Meilhan,,N,,,,,5.380121,43.297272,Marseille,,cdt:Site,Place - Cours,,,,,La CanebiËre,,,13001,,MARSEILLE,non,,00 00 00 00 00,,,,,
Ancien Hôtel du Louvre et de la Paix,,N,,,,,5.378667,43.296724,Marseille,,cdt:Monument,HÙtel particulier,,53,,,La CanebiËre,,,13001,,MARSEILLE,non,,00 00 00 00 00,,,,,
Ancien Hôtel Pascal,,N,,,,,5.377256,43.292284,Marseille,,cdt:Monument,HÙtel particulier,,52,,Rue,Paradis,,,13006,,MARSEILLE,non,,0,,,,,
Ancienne Eglise de la Major,,N,,,,,5.365381,43.298866,Marseille,,cdt:Monument,Eglise,,,,Place,De la Major,,,13002,,MARSEILLE,non,,04 91 90 53 57,,,,,
Anciens Arcenaulx,,N,,,,,5.369414,43.292965,Marseille,,cdt:Monument,Patrimoine divers,,,,Quai,De Rive Neuve,,,13007,,MARSEILLE,non,,08 26 50 05 00,,,,,
Basilique le Sacré-Coeur,,N,,,,,5.386122,43.26939,Marseille,,cdt:Monument,Eglise,,81,,Avenue,Du Prado,,,13008,,MARSEILLE,non,,04 91 79 05 28,sacrecoeurprado@hotmail.com,http://sacrecoeurprado.over-blog.com,,,
Bastide de la Magalone,,N,,,,,5.39751,43.261989,Marseille,,cdt:Monument,Bastide,,245,,Boulevard,Michelet,,,13009,,MARSEILLE,non,,04 91 39 28 28,,http://www.citemusique-marseille.com,,,
Chapelle des PÈnitents Noirs,,N,,,,,5.369056,43.300212,Marseille,,cdt:Monument,Chapelle,,6,,Rue,Du Bon JÈsus,,,13002,,MARSEILLE,non,,0,,,,,
Chapelle du Lycée Thiers,,N,,,,,5.381479,43.296078,Marseille,,cdt:Monument,Chapelle,,17,,Boulevard,Garibaldi,,,13001,,MARSEILLE,non,,04 91 24 30 40,,,,,
Chapelle du Trés Saint Rosaire,,N,,,,,5.381126,43.286337,Marseille,,cdt:Monument,Chapelle,Couvent des Dominicains,35,,AllÈe,Edmond Rostand,,,13006,,MARSEILLE,non,,04 96 10 07 00,,,,,
Chapelle Notre-Dame de la Nerthe (La Galline),,N,,,,,5.30866,43.364283,Marseille,,cdt:Monument,Chapelle,,,,Chemin,De la Nerthe,L'Estaque,,13016,,MARSEILLE,non,,04 91 46 19 18,,,,,
Chapelle Sainte-Catherine,,N,,,,,5.364294,43.297672,Marseille,,cdt:Monument,Chapelle,,,,Esplanade,De la Tourette,,,13002,,MARSEILLE,non,,04 91 90 52 87,,,,,
Chateau Bovis,,N,,,,,5.316086,43.362834,Marseille,,cdt:Monument,Patrimoine divers,,,,,,L'Estaque,,13016,,MARSEILLE,non,,0,,,,,
Chateau Fallet,,N,,,,,5.316086,43.362834,Marseille,,cdt:Monument,Bastide,,,,,,L'Estaque,,13016,,MARSEILLE,non,,04 91 00 00 00,,,,,
Chateau Pastré,,N,,,,,5.36705,43.240149,Marseille,,cdt:Monument,Bastide,,157,,Avenue,De Montredon,,,13008,,MARSEILLE,non,,04 91 62 21 82,,http://musee-de-la-faience.marseille.fr,,,
Clocher des Accoules,,N,,,,,5.367363,43.297696,Marseille,,cdt:Monument,Eglise,,,,MontÈe,Des Accoules,,,13002,,MARSEILLE,non,,04 91 90 01 82,,http://catholique-marseille.cef.fr,,,
Cours Julien,,N,,,,,5.383051,43.294326,Marseille,,cdt:Monument,Place - cours,,,,Cours,Julien,,,13006,,MARSEILLE,non,,00 00 00 00 00,,http://www.mairie-marseille.fr,,,
Couvent des Dominicains,,N,,,,,5.381126,43.286337,Marseille,,cdt:Monument,Couvent,,35,,Rue,Edmond Rostand,,,13006,,MARSEILLE,non,,04 96 10 07 00,,,,,
Couvent et Tour des Trinitaires,,N,,,,,5.368368,43.300486,Marseille,,cdt:Monument,Couvent,,,,Rue,De la Vieille Tour,,,13002,,MARSEILLE,non,,0,,,,,
Eglise anglicane,,N,,,,,5.380210876464844,43.28720268480437,Marseille,,cdt:Monument,Eglise,,4,,Rue,Du Belloi,,,13006,,MARSEILLE,non,,04 91 90 18 81,anglican-marseille@numericable.fr,http://www.anglican-marseille.org,,,
Eglise Baptiste,,N,,,,,5.384433,43.286603,Marseille,,cdt:Monument,Eglise,,102,,Rue,D'Italie,,,13006,,MARSEILLE,non,,04 91 47 90 06,,,,,
Eglise de La Dormition de la Mère de Dieu,,N,,,,,5.383707,43.300829,Marseille,,cdt:Monument,Eglise,,23,,Rue,De la Grande ArmÈe,,,13001,,MARSEILLE,non,,04 91 62 48 46,,,,,
Eglise de la Mission de France Saint Pie X,,N,,,,,5.379156,43.298648,Marseille,,cdt:Monument,Eglise,,44,,Rue,Tapis Vert,,,13001,,MARSEILLE,non,,04 91 91 67 16,,,,,
Eglise de Saint-Giniez,,N,,,,,5.3859417,43.2711288,Marseille,,cdt:Monument,Eglise,,19,bis,Boulevard,Emile Sicard,,,13008,,MARSEILLE,non,,04 91 23 01 10,,,,,"Le Palais du Pharo est un monument marseillais dont la construction fut ordonnée par Napoléon III pour l'Impératrice Eugénie dans la deuxième moitié du xixe siècle. Il appartient aujourd'hui à la ville de Marseille et constitue un lieu d'accueil pour des congrès et diverses manifestations.Flanquée de deux ailes latérales formant un écran contre le mistral, la structure du bâtiment s'apparente plus à l'architecture d'une station balnéaire qu'à une demeure impériale. Le projet de construction est à l'époque le reflet de la construction de la Villa Eugénie entreprise par Napoléon III en 1854 à Biarritz. Bien que similaire à celle de Biarritz avec son plan en forme de « U », la résidence de Marseille, de conception plus monumentale avec son étage de combles, est plus grande. De plus à Marseille on employait uniquement la pierre contrairement à la résidence basque à base de briques.
Les références à l'architecture classique sont nombreuses. Le Palais du Pharo dispose de façades percées de baies en plein cintre au rez-de-chaussée et de fenêtres arquées aux étages décorées de guirlandes et d'une coquille. Dans le tympan du fronton triangulaire, on peut observer les armes de la ville de Marseille portées par deux enfants. Les motifs du rez-de-chaussée en pierre de taille ont été sculptés par le marseillais Simon.
Le Palais dispose également d'un jardin de 5,7 hectares qui porte aujourd'hui le nom d'Émile Duclaux"
Eglise de Saint-Pierre,,N,,,,,5.409579,43.292596,Marseille,,cdt:Monument,Eglise,,,,Place,Pol Lapeyre,,,13005,,MARSEILLE,non,,04 91 47 70 04,,,,,
Eglise des Accoules,,N,,,,,5.369181,43.297528,Marseille,,cdt:Monument,Eglise,,10,,Place,Daviel,,,13002,,MARSEILLE,non,,04 91 90 52 87,,http://catholique-marseille.cef.fr,,,
Eglise des Grands Carmes,,N,,,,,5.372118,43.300356,Marseille,,cdt:Monument,Eglise,,,,Place,Des Grands Carmes,,,13002,,MARSEILLE,non,,04 91 90 52 87,,,,,
Eglise du Cour Immaculé de Marie,,N,,,,,5.385018,43.274301,Marseille,,cdt:Monument,Eglise,,55,,Boulevard,Rodoccanachi,,,13002,,MARSEILLE,non,,04 91 77 51 08,claretains.marseille@numericable.fr,,,,
Eglise La Sainte Trinité,,N,,,,,5.379777,43.293768,Marseille,,cdt:Monument,Eglise,,35,,AllÈe,De la Palud,,,13001,,MARSEILLE,non,,04 91 59 80 10,,,,,
Eglise Les Récollets - Saint-Thèodore,,N,,,,,5.3821768,43.300771,Marseille,,cdt:Monument,Eglise,,1,,Rue,De l'Etoile angle Dominicaines,,,13001,,MARSEILLE,non,,04 91 90 76 67,,http://catholique-marseille.cef.fr,,,
Eglise les Réformés - Saint-Vincent de Paul,,N,,,,,5.386638,43.299011,Marseille,,cdt:Monument,Eglise,,2,,Cours,Franklin Roosevelt,,,13001,,MARSEILLE,non,,04 91 48 57 45,paroisse.reforme@laposte.net,http://catholique-marseille.cef.fr,,,
Eglise Saint-Cannat les PrÍcheurs,,N,,,,,5.373057,43.298388,Marseille,,cdt:Monument,Eglise,,,,Place,Des PrÍcheurs,,,13002,,MARSEILLE,non,,04 91 90 85 47,,http://catholique-marseille.cef.fr,,,
Eglise Saint-Charles,,N,,,,,5.375296,43.291774,Marseille,,cdt:Monument,Eglise,,64,,Rue,Grignan,,,13006,,MARSEILLE,non,,04 91 33 32 13,,,,,
Eglise Sainte-Eusébie - Paroisse de Montredon,,N,,,,,5.365674,43.238259,Marseille,,cdt:Monument,Eglise,,6,,Place,EngaliËre,,,13008,,MARSEILLE,non,,04 91 73 46 18,,,,,
Eglise Sainte-Marguerite,,N,,,,,5.409613,43.265485,Marseille,,cdt:Monument,Eglise,,,,Place,Antide Boyer,,,13009,,MARSEILLE,non,,04 91 75 17 60,,,,,
Eglise Sainte-Marie-Magdeleine Les Chartreux,,N,,,,,5.402133,43.310062,Marseille,,cdt:Monument,Eglise,,26,,Place,Edmond Audran,,,13004,,MARSEILLE,non,,04 91 49 40 76,,http://catholique-marseille.cef.fr,,,
Eglise Saint-Ferréol,,N,,,,,5.374426,43.295281,Marseille,,cdt:Monument,Eglise,,,,Quai,Des Belges,,,13001,,MARSEILLE,non,,04 91 90 26 69,,http://catholique-marseille.cef.fr,,,
Eglise Saint-Georges,,N,,,,,5.357959,43.289162,Marseille,,cdt:Monument,Eglise,,95,,Avenue,De la Corse,,,13007,,MARSEILLE,non,,04 91 52 37 89,,,,,
Eglise Saint-Joseph,,N,,,,,5.379005,43.28815,Marseille,,cdt:Monument,Eglise,,124,,Rue,Paradis,,,13006,,MARSEILLE,non,,04 91 37 71 59,,,,,
Eglise Saint-Laurent,,N,,,,,5.364294,43.297672,Marseille,,cdt:Monument,Eglise,,,,Esplanade,De la Tourette,,,13002,,MARSEILLE,non,,04 91 90 52 87,,http://catholique-marseille.cef.fr,,,
Eglise Saint-Lazare,,N,,,,,5.373771,43.304997,Marseille,,cdt:Monument,Eglise,,13,,Rue,Saint-Lazare,,,13003,,MARSEILLE,non,,04 91 62 43 51,,,,,
Eglise Saint-Louis,,N,,,,,5.354234,43.350644,Marseille,,cdt:Monument,Eglise,,20,,Chemin,De Saint-Louis au Rove,,,13015,,MARSEILLE,non,,04 91 03 01 58,,,,,
Eglise Saint-Matthieu,,N,,,,,5.4395455,43.3521569,Marseille,,cdt:Monument,Eglise,,,,Place,Des HÈros,Ch‚teau-Gombert,,13013,,MARSEILLE,non,,04 91 68 13 43,,http://marseille.catholique.fr/Chateau-Gombert-Saint-Matthieu,,,
Eglise Saint-Michel Archange,,N,,,,,5.393698,43.296652,Marseille,,cdt:Monument,Eglise,,1,,Place,De l'Archange,,,13005,,MARSEILLE,non,,04 91 42 34 45,,http://catholique-marseille.cef.fr,,,
Ermitage Saint Honorat,,N,,,,,5.365323,43.298455,Marseille,,cdt:Monument,Ermitage,,,,Place,De la CathÈdrale,,,13002,,MARSEILLE,non,,00 00 00 00 00,,,,,
Escale Borély,,N,,,,,5.3763268,43.2551975,Marseille,,cdt:Site,Place - Cours,,,,Avenue,Pierre MendËs-France,,,13008,,MARSEILLE,non,,04 91 00 00 00,,,,,
Espanade Saint-Jean ancien J4,,N,,,,,5.3821768,43.300771,Marseille,,cdt:Site,Place - Cours,,,,Esplanade,Saint-Jean J4,,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
Esplanade Bargemon,,N,,,,,5.3681992,43.2959245,Marseille,,cdt:Site,Place - Cours,Rue Caisserie,,,Quai,Du Port,Vieux Port,,13002,,MARSEILLE,non,,04 91 00 00 00,,,,,
Fontaine Cantini,,N,,,,,5.383712,43.285905,Marseille,,cdt:Monument,Fontaine,,,,Place,Castellane,,,13006,,MARSEILLE,non,,04 91,,,,,
Fontaine des Danaides,,N,,,,,5.385112,43.299462,Marseille,,cdt:Monument,Fontaine,,,,Square,Stalingrad,,,13001,,MARSEILLE,non,,04 91,,,,,
Fontaine Fossati,,N,,,,,5.380593,43.299011,Marseille,,cdt:Monument,Fontaine,,,,Place,Des Capucines,,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
Fort de Corbière,,N,,,,,5.316086,43.362834,Marseille,,cdt:Monument,Patrimoine divers,,,,,,L'Estaque,,13016,,MARSEILLE,non,,04 91 00 00 00,,,,,
Gare Saint-Charles,,N,,,,,5.380554,43.301915,Marseille,,cdt:Monument,Gare,,,,Square,Narvik,,,13001,,MARSEILLE,non,,04 95 04 10 00,,,,,
Hôtel de Cabre,,N,,,,,5.371592,43.297751,Marseille,,cdt:Monument,HÙtel particulier,,27,bis,,Grand Rue,,,13002,,MARSEILLE,non,,04 91 00 00 00,,,,,
Hôtel de Mazargues,,N,,,,,5.376305,43.299204,Marseille,,cdt:Monument,HÙtel particulier,,1,,Rue,Nationale,,,13001,,MARSEILLE,non,,0,,,,,
Hôtel Hubaud,,N,,,,,5.379087,43.297953,Marseille,,cdt:Monument,HÙtel particulier,,38,,Rue,Longue des Capucins,,,13001,,MARSEILLE,non,,0,,,,,
Kiosque à musique,,N,,,,,5.3821768,43.300771,Marseille,,cdt:Monument,Patrimoine divers,,,,Place,LÈon Blum,,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
La Canebière,,N,,,,,5.3821768,43.300771,Marseille,,cdt:Site,Route - Voie historique,,,,,,,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
La cathédrale arménienne,,N,,,,,5.38817,43.270239,Marseille,,cdt:Monument,CathÈdrale,,339,,Avenue,Du Prado,,,13008,,MARSEILLE,non,,04 91 77 84 70,,,,,
La citerne des moulins,,N,,,,,5.3696376,43.2996323,Marseille,,cdt:Monument,Monument divers,,,,Place,Des Moulins,,,13002,,MARSEILLE,non,,04 91 00 00 00,,,,,
La Grande Synagogue,,N,,,,,5.377132,43.287055,Marseille,,cdt:Monument,Synagogue,,117-119,,Rue,Breteuil,,,13006,,MARSEILLE,non,,04 91 37 49 64,consistoire.israelite@wanadoo.fr,,,,
La Préfecture,,N,,,,,5.3808683,43.2875818,Marseille,,cdt:Monument,HÙtel particulier,,,,Place,De la PrÈfecture,,,13006,,MARSEILLE,non,,04 91 39 80 00,,,,,
La Préfecture et le Palais de Justice,,N,,,,,5.3808683,43.2875818,Marseille,,cdt:Monument,Edifice administratif,,,,,,,,13006,,MARSEILLE,non,,04 91 00 00 00,,,,,
Le cours Belsunce et le cours Saint-Louis,,N,,,,,5.3821768,43.300771,Marseille,,cdt:Site,Place - Cours,,,,,,,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
Le David,,N,,,,,5.386122,43.26939,Marseille,,cdt:Monument,Patrimoine divers,,,,Avenue,Du Prado,,,13008,,MARSEILLE,non,,04 91,,,,,
Le Vieux Marseille et Le Panier,,N,,,,,5.3599355,43.3174701,Marseille,,cdt:Site,Quartier historique,,,,,,,,13002,,MARSEILLE,non,,04 91 00 00 00,,,,,
Les cathédrales et l'Èglise Saint-Laurent,,N,,,,,5.3599355,43.3174701,Marseille,,cdt:Monument,CathÈdrale,,,,,,,,13002,,MARSEILLE,non,,04 91 00 00 00,,,,,
Les consignes sanitaires,,N,,,,,5.369195,43.296005,Marseille,,cdt:Monument,Patrimoine divers,,,,Quai,Du Port,,,13002,,MARSEILLE,non,,04 91 00 00 00,,,,,
Les forts du Vieux Port et les consignes sanitaires,,N,,,,,5.3821768,43.300771,Marseille,,cdt:Site,Port,,,,,,,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
L'Estaque et les peintres,,N,,,,,5.316086,43.362834,Marseille,,cdt:Site,Quartier historique,,,,,,,,13016,,MARSEILLE,non,,04 91 00 00 00,,http://www.mairie-marseille.fr,,,
Maison Diamantée,,N,,,,,5.3695611,43.2968009,Marseille,,cdt:Monument,HÙtel particulier,,2,,Rue,De la Prison,,,13002,,MARSEILLE,non,,04 91 55 10 19,,http://www.marseille.fr,,,
Maison dite des Atlantes,,N,,,,,5.378341,43.298404,Marseille,,cdt:Monument,HÙtel particulier,,,,Rue,13001 Marseille,Rue d'Aix,,13001,,MARSEILLE,non,,04 91 00 00 00,,,,,
Maison dite du Figaro,,N,,,,,5.378321,43.295848,Marseille,,cdt:Monument,HÙtel particulier,,,,Cours,Saint-Louis,,,13001,,MARSEILLE,non,,0,,,,,
Marseille bord de mer,,N,,,,,5.3674144,43.2705866,Marseille,,cdt:Site,Route - Voie historique,,,,Corniche,J.F.Kennedy,,,13007,,MARSEILLE,non,,04 91 00 00 00,,,,,
Marseille côté Sud,,N,,,,,5.3782513,43.2370789,Marseille,,cdt:Site,Route - Voie historique,,,,,,,,13008,,MARSEILLE,non,,04 91 00 00 00,,,,,
Mémorial des Rapatriés,,N,,,,,5.367414,43.270587,Marseille,,cdt:Monument,Patrimoine divers,,,,Corniche,J.F Kennedy,,,13007,,MARSEILLE,non,,04 91 00 00 00,,,,,
Mosquée comorienne Al Chafi'i,,N,,,,,5.3759936,43.3150787,Marseille,,cdt:Monument,MosquÈe,,10,,Rue,Gaillard,,,13003,,MARSEILLE,non,,04 91 95 61 37,,,,,
Mosquée En Nasr,,N,,,,,5.4076857,43.277672,Marseille,,cdt:Monument,MosquÈe,,68,,Route,Alfred Curtel,,,13010,,MARSEILLE,non,,04 91 25 95 57,,,,,
Mosquée Islah islamnique du Sud de la France,,N,,,,,5.3607806,43.3266776,Marseille,,cdt:Monument,MosquÈe,MarchÈ aux Puces,130,,Chemin,De la Madrague Ville,,,13015,,MARSEILLE,non,,04 91 63 28 20,,,,,
Mosquée Tahara,,N,,,,,5.3801633,43.2951808,Marseille,,cdt:Monument,MosquÈe,,6,,Rue,De l'AcadÈmie,,,13001,,MARSEILLE,non,,04 91 33 16 80,,,,,
Obéisque,,N,,,,,5.403653,43.250514,Marseille,,cdt:Monument,ObÈlisque,,,,Rond-point,De Mazargues,,,13009,,MARSEILLE,non,,0,,,,,
Oppidum celto-ligure de Saint-Marcel,,N,,,,,5.4662346,43.3011865,Marseille,,cdt:Site,Oppidum,,94,,Traverse,La Martine,,,13012,,MARSEILLE,non,,04 91 00 00 00,,http://www.marseillemairie11-12.fr,,,
Orgue de l'Èglise Saint-Cannat,,N,,,,,5.37382,43.298063,Marseille,,cdt:Monument,Orgue,,4,,Rue,Des PrÍcheurs,,,13001,,MARSEILLE,non,,04 91 90 85 47,,,,,
Orgue de Notre-Dame de la Garde,,N,,,,,5.370089,43.286511,Marseille,,cdt:Monument,Orgue,,,,Place,Colonel Edon,,,13006,,MARSEILLE,non,,04 91 13 40 80,,http://www.marseille.com/nddelagarde,,,
Orgue de Saint-Charles,,N,,,,,5.375296,43.291774,Marseille,,cdt:Monument,Orgue,,64,,Rue,Grignan,,,13006,,MARSEILLE,non,,04 91 33 32 13,,,,,
Orgue de Saint-Joseph,,N,,,,,5.379005,43.28815,Marseille,,cdt:Monument,Orgue,,124,,Rue,Paradis,,,13006,,MARSEILLE,non,,04 91 37 71 59,,,,,
Orgue des Chartreux,,N,,,,,5.402156,43.310124,Marseille,,cdt:Monument,Orgue,,,,Place,Edmond Audran,,,13004,,MARSEILLE,non,,04 91 49 40 76,,,,,
Orgue du Sacré Coeur,,N,,,,,5.386122,43.26939,Marseille,,cdt:Monument,Orgue,,81,,Avenue,Du Prado,,,13008,,MARSEILLE,non,,04 91 79 05 28,,,,,
Orgue du Temple Protestant,,N,,,,,5.378732,43.292585,Marseille,,cdt:Monument,Orgue,,15,,Rue,Grignan,,,13001,,MARSEILLE,non,,04 91 33 17 10,,,,,
Palais Daviel,,N,,,,,5.369427,43.297598,Marseille,,cdt:Monument,Palais,,,,Place,Daviel,,,13002,,MARSEILLE,non,,04 91 00 00 00,,,,,
